entity_type,entity_id,entity_name,candidate_count,first_candidate_full_name,first_candidate_username,error_message,reason_for_no_validation
empresa,986,,0,,,,Sem candidatos da API
empresa,954,,20,Americo José Montanini Ruetti,montanini10,,Nenhum candidato passou na validação
empresa,119,,0,,,,Sem candidatos da API
empresa,1164,,0,,,,Sem candidatos da API
empresa,2312,,0,,,,Sem candidatos da API
empresa,964,,0,,,,Sem candidatos da API
empresa,1308,,1,Advocacia Urany de Castro,adv.uranydecastro,,Nenhum candidato passou na validação
empresa,1064,,0,,,,Sem candidatos da API
empresa,1063,,0,,,,Sem candidatos da API
empresa,1062,,0,,,,Sem candidatos da API
empresa,847,,0,,,,Sem candidatos da API
empresa,985,,1,BAR E LANCHONETE AGUA SANTA,bar_e_lanchonete_agua_santa,,Nenhum candidato passou na validação
empresa,1301,,0,,,,Sem candidatos da API
empresa,2011,,0,,,,Sem candidatos da API
empresa,2703,,0,,,,Sem candidatos da API
empresa,2744,,0,,,,Sem candidatos da API
empresa,477,,0,,,,Sem candidatos da API
empresa,1046,,0,,,,Sem candidatos da API
empresa,1927,,0,,,,Sem candidatos da API
empresa,777,,0,,,,Sem candidatos da API
empresa,2650,,0,,,,Sem candidatos da API
empresa,844,,0,,,,Sem candidatos da API
empresa,949,,0,,,,Sem candidatos da API
empresa,957,,0,,,,Sem candidatos da API
empresa,943,,0,,,,Sem candidatos da API
empresa,2283,,0,,,,Sem candidatos da API
empresa,2289,,0,,,,Sem candidatos da API
empresa,2319,,0,,,,Sem candidatos da API
empresa,2282,,0,,,,Sem candidatos da API
empresa,2273,,0,,,,Sem candidatos da API
empresa,2120,,0,,,,Sem candidatos da API
empresa,2034,,0,,,,Sem candidatos da API
empresa,2056,,0,,,,Sem candidatos da API
empresa,879,,0,,,,Sem candidatos da API
empresa,386,,0,,,,Sem candidatos da API
empresa,1453,,0,,,,Sem candidatos da API
empresa,2502,,0,,,,Sem candidatos da API
empresa,406,,0,,,,Sem candidatos da API
empresa,1285,,0,,,,Sem candidatos da API
empresa,778,,0,,,,Sem candidatos da API
empresa,2545,,0,,,,Sem candidatos da API
empresa,852,,10,E,ribancosztag,,Nenhum candidato passou na validação
empresa,831,,0,,,,Sem candidatos da API
